uuid,title,abstract,response
aaai_2021_0,"Thirty-Fifth AAAI Conference on Artificial Intelligence, AAAI 2021, Thirty-Third Conference on Innovative Applications of Artificial Intelligence, IAAI 2021, The Eleventh Symposium on Educational Advances in Artificial Intelligence, EAAI 2021, Virtual Event, February 2-9, 2021.",,No
aaai_2021_1,The Undergraduate Games Corpus: A Dataset for Machine Perception of Interactive Media.,,No
aaai_2021_2,Efficient Poverty Mapping from High Resolution Remote Sensing Images.,,No
aaai_2021_3,Optimal Kidney Exchange with Immunosuppressants.,,No
aaai_2021_4,TreeCaps: Tree-Based Capsule Networks for Source Code Processing.,,No
aaai_2021_5,A Bottom-Up DAG Structure Extraction Model for Math Word Problems.,,No
aaai_2021_6,Diagnose Like A Pathologist: Weakly-Supervised Pathologist-Tree Network for Slide-Level Immunohistochemical Scoring.,,No
aaai_2021_7,Modeling the Momentum Spillover Effect for Stock Prediction via Attribute-Driven Graph Attention Networks.,,No
aaai_2021_8,Differentially Private Link Prediction with Protected Connections.,,No
aaai_2021_9,Graph Neural Network to Dilute Outliers for Refactoring Monolith Application.,,No
aaai_2021_10,KAN: Knowledge-aware Attention Network for Fake News Detection.,,No
aaai_2021_11,When Hashing Met Matching: Efficient Spatio-Temporal Search for Ridesharing.,,No
aaai_2021_12,Gene Regulatory Network Inference using 3D Convolutional Neural Network.,,No
aaai_2021_13,Universal Trading for Order Execution with Oracle Policy Distillation.,,No
aaai_2021_14,Dual-Octave Convolution for Accelerated Parallel MR Image Reconstruction.,,No
aaai_2021_15,MIMOSA: Multi-constraint Molecule Sampling for Molecule Optimization.,,No
aaai_2021_16,ECG ODE-GAN: Learning Ordinary Differential Equations of ECG Dynamics via Generative Adversarial Learning.,,No
aaai_2021_17,Towered Actor Critic For Handling Multiple Action Types In Reinforcement Learning For Drug Discovery.,,No
aaai_2021_18,Hierarchical Graph Convolution Network for Traffic Forecasting.,,No
aaai_2021_19,Automated Lay Language Summarization of Biomedical Scientific Reviews.,,No
aaai_2021_20,"Sub-Seasonal Climate Forecasting via Machine Learning: Challenges, Analysis, and Advances.",,No
aaai_2021_21,Compound Word Transformer: Learning to Compose Full-Song Music over Dynamic Directed Hypergraphs.,,No
aaai_2021_22,Modeling the Compatibility of Stem Tracks to Generate Music Mashups.,,No
aaai_2021_23,SDGNN: Learning Node Representation for Signed Directed Networks.,,No
aaai_2021_24,The Causal Learning of Retail Delinquency.,,No
aaai_2021_25,Deep Portfolio Optimization via Distributional Prediction of Residual Factors.,,No
aaai_2021_26,Complex Coordinate-Based Meta-Analysis with Probabilistic Programming.,,No
aaai_2021_27,Who You Would Like to Share With? A Study of Share Recommendation in Social E-commerce.,,No
aaai_2021_28,Estimating Calibrated Individualized Survival Curves with Deep Learning.,,No
aaai_2021_29,Deep Contextual Clinical Prediction with Reverse Distillation.,,No
aaai_2021_30,Learning to Stop: Dynamic Simulation Monte-Carlo Tree Search.,,No
aaai_2021_31,Predicting Livelihood Indicators from Community-Generated Street-Level Imagery.,,No
aaai_2021_32,Deep Conservation: A Latent-Dynamics Model for Exact Satisfaction of Physical Conservation Laws.,,No
aaai_2021_33,Two-Stream Convolution Augmented Transformer for Human Activity Recognition.,,No
aaai_2021_34,Traffic Flow Prediction with Vehicle Trajectories.,,No
aaai_2021_35,RevMan: Revenue-aware Multi-task Online Insurance Recommendation.,,No
aaai_2021_36,MeInGame: Create a Game Character Face from a Single Portrait.,,No
aaai_2021_37,Community-Aware Multi-Task Transportation Demand Prediction.,,No
aaai_2021_38,Asynchronous Stochastic Gradient Descent for Extreme-Scale Recommender Systems.,,No
aaai_2021_39,In-game Residential Home Planning via Visual Context-aware Global Relation Learning.,,No
aaai_2021_40,Relational Classification of Biological Cells in Microscopy Images.,,No
aaai_2021_41,Deep Style Transfer for Line Drawings.,,No
aaai_2021_42,RNA Secondary Structure Representation Network for RNA-proteins Binding Prediction.,,No
aaai_2021_43,PANTHER: Pathway Augmented Nonnegative Tensor Factorization for HighER-order Feature Learning.,,No
aaai_2021_44,Programmatic Strategies for Real-Time Strategy Games.,,No
aaai_2021_45,Capturing Uncertainty in Unsupervised GPS Trajectory Segmentation Using Bayesian Deep Learning.,,No
aaai_2021_46,Low-Rank Registration Based Manifolds for Convection-Dominated PDEs.,,No
aaai_2021_47,Symbolic Music Generation with Transformer-GANs.,,No
aaai_2021_48,Bringing UMAP Closer to the Speed of Light with GPU Acceleration.,,No
aaai_2021_49,Deep Just-In-Time Inconsistency Detection Between Comments and Source Code.,,No
aaai_2021_50,XraySyn: Realistic View Synthesis From a Single Radiograph Through CT Priors.,,No
aaai_2021_51,Pragmatic Code Autocomplete.,,No
aaai_2021_52,RareBERT: Transformer Architecture for Rare Disease Patient Identification using Administrative Claims.,,No
aaai_2021_53,Queue-Learning: A Reinforcement Learning Approach for Providing Quality of Service.,,No
aaai_2021_54,Research Reproducibility as a Survival Analysis.,,No
aaai_2021_55,DeepPseudo: Pseudo Value Based Deep Learning Models for Competing Risk Analysis.,,No
aaai_2021_56,CardioGAN: Attentive Generative Adversarial Network with Dual Discriminators for Synthesis of ECG from PPG.,,No
aaai_2021_57,Stock Selection via Spatiotemporal Hypergraph Attention Network: A Learning to Rank Approach.,,No
aaai_2021_58,Content Masked Loss: Human-Like Brush Stroke Planning in a Reinforcement Learning Painting Agent.,,No
aaai_2021_59,StatEcoNet: Statistical Ecology Neural Networks for Species Distribution Modeling.,,No
aaai_2021_60,Integrating Static and Dynamic Data for Improved Prediction of Cognitive Declines Using Augmented Genotype-Phenotype Representations.,,No
aaai_2021_61,GTA: Graph Truncated Attention for Retrosynthesis.,,No
aaai_2021_62,Physics-Informed Deep Learning for Traffic State Estimation: A Hybrid Paradigm Informed By Second-Order Traffic Models.,,No
aaai_2021_63,The LOB Recreation Model: Predicting the Limit Order Book from TAQ History Using an Ordinary Differential Equation Recurrent Neural Network.,,No
aaai_2021_64,Embracing Domain Differences in Fake News: Cross-domain Fake News Detection using Multi-modal Data.,,No
aaai_2021_65,Oral-3D: Reconstructing the 3D Structure of Oral Cavity from Panoramic X-ray.,,No
aaai_2021_66,Traffic Shaping in E-Commercial Search Engine: Multi-Objective Online Welfare Maximization.,,No
aaai_2021_67,Fully Exploiting Cascade Graphs for Real-time Forwarding Prediction.,,No
aaai_2021_68,A Hierarchical Approach to Multi-Event Survival Analysis.,,No
aaai_2021_69,DeepWriteSYN: On-Line Handwriting Synthesis via Deep Short-Term Representations.,,No
aaai_2021_70,Sketch Generation with Drawing Process Guided by Vector Flow and Grayscale.,,No
aaai_2021_71,PSSM-Distil: Protein Secondary Structure Prediction (PSSP) on Low-Quality PSSM by Knowledge Distillation with Contrastive Learning.,,No
aaai_2021_72,Commission Fee is not Enough: A Hierarchical Reinforced Framework for Portfolio Management.,,No
aaai_2021_73,Alternative Baselines for Low-Shot 3D Medical Image Segmentation - An Atlas Perspective.,,No
aaai_2021_74,DeepTrader: A Deep Reinforcement Learning Approach for Risk-Return Balanced Portfolio Management with Market Conditions Embedding.,,No
aaai_2021_75,Dynamic Gaussian Mixture based Deep Generative Model For Robust Forecasting on Sparse Multivariate Time Series.,,No
aaai_2021_76,Automated Symbolic Law Discovery: A Computer Vision Approach.,,No
aaai_2021_77,Hierarchically and Cooperatively Learning Traffic Signal Control.,,No
aaai_2021_78,Deep Partial Rank Aggregation for Personalized Attributes.,,No
aaai_2021_79,Towards Efficient Selection of Activity Trajectories based on Diversity and Coverage.,,No
aaai_2021_80,Minimizing Labeling Cost for Nuclei Instance Segmentation and Classification with Cross-domain Images and Weak Labels.,,No
aaai_2021_81,Bigram and Unigram Based Text Attack via Adaptive Monotonic Heuristic Search.,,No
aaai_2021_82,GRASP: Generic Framework for Health Status Representation Learning Based on Incorporating Knowledge from Similar Patients.,,No
aaai_2021_83,Window Loss for Bone Fracture Detection and Localization in X-ray Images with Point-based Annotation.,,No
aaai_2021_84,A Spatial Regulated Patch-Wise Approach for Cervical Dysplasia Diagnosis.,,No
aaai_2021_85,Online 3D Bin Packing with Constrained Deep Reinforcement Learning.,,No
aaai_2021_86,DEAR: Deep Reinforcement Learning for Online Advertising Impression in Recommender Systems.,,No
aaai_2021_87,Towards Balanced Defect Prediction with Better Information Propagation.,,No
aaai_2021_88,Many-to-One Distribution Learning and K-Nearest Neighbor Smoothing for Thoracic Disease Identification.,,No
aaai_2021_89,Probabilistic Programming Bots in Intuitive Physics Game Play.,,No
aaai_2021_90,Model-Agnostic Fits for Understanding Information Seeking Patterns in Humans.,,No
aaai_2021_91,Apparently Irrational Choice as Optimal Sequential Decision Making.,,No
aaai_2021_92,Visual Relation Detection using Hybrid Analogical Learning.,,No
aaai_2021_93,Neural Analogical Matching.,,No
aaai_2021_94,Interpretable Self-Supervised Facial Micro-Expression Learning to Predict Cognitive State and Neurological Disorders.,,No
aaai_2021_95,Quantum Cognitively Motivated Decision Fusion for Video Sentiment Analysis.,,No
aaai_2021_96,Towards a Better Understanding of VR Sickness: Physical Symptom Prediction for VR Contents.,,No
aaai_2021_97,PHASE: PHysically-grounded Abstract Social Events for Machine Social Perception.,,No
aaai_2021_98,Riemannian Embedding Banks for Common Spatial Patterns with EEG-based SPD Neural Networks.,,No
aaai_2021_99,Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition.,,No
aaai_2021_100,Localization in the Crowd with Topological Constraints.,,No
aaai_2021_101,Deep Event Stereo Leveraged by Event-to-Image Translation.,,No
aaai_2021_102,Optical Flow Estimation from a Single Motion-blurred Image.,,No
aaai_2021_103,Motion-blurred Video Interpolation and Extrapolation.,,No
aaai_2021_104,Disentangled Multi-Relational Graph Convolutional Network for Pedestrian Trajectory Prediction.,,No
aaai_2021_105,Dense Events Grounding in Video.,,No
aaai_2021_106,Context-aware Attentional Pooling (CAP) for Fine-grained Visual Classification.,,No
aaai_2021_107,Appearance-Motion Memory Consistency Network for Video Anomaly Detection.,,No
aaai_2021_108,Rethinking Object Detection in Retail Stores.,,No
aaai_2021_109,YOLObile: Real-Time Object Detection on Mobile Devices via Compression-Compilation Co-Design.,,No
aaai_2021_110,Semantic MapNet: Building Allocentric Semantic Maps and Representations from Egocentric Views.,,No
aaai_2021_111,Understanding Deformable Alignment in Video Super-Resolution.,,No
aaai_2021_112,Deep Metric Learning with Graph Consistency.,,No
aaai_2021_113,CNN Profiler on Polar Coordinate Images for Tropical Cyclone Structure Analysis.,,No
aaai_2021_114,Commonsense Knowledge Aware Concept Selection For Diverse and Informative Visual Storytelling.,,No
aaai_2021_115,Attention-based Multi-Level Fusion Network for Light Field Depth Estimation.,,No
aaai_2021_116,Joint Demosaicking and Denoising in the Wild: The Case of Training Under Ground Truth Uncertainty.,,No
aaai_2021_117,Spatial-temporal Causal Inference for Partial Image-to-video Adaptation.,,No
aaai_2021_118,Ref-NMS: Breaking Proposal Bottlenecks in Two-Stage Referring Expression Grounding.,,No
