uuid,title,abstract,response
aaai_2024_0,"Thirty-Eighth AAAI Conference on Artificial Intelligence, AAAI 2024, Thirty-Sixth Conference on Innovative Applications of Artificial Intelligence, IAAI 2024, Fourteenth Symposium on Educational Advances in Artificial Intelligence, EAAI 2014, February 20-27, 2024, Vancouver, Canada.",,No
aaai_2024_1,Post-trained Convolution Networks for Single Image Super-resolution (Abstract Reprint).,,No
aaai_2024_2,A Multi-Modal Contrastive Diffusion Model for Therapeutic Peptide Generation.,,No
aaai_2024_3,Towards Automated RISC-V Microarchitecture Design with Reinforcement Learning.,,No
aaai_2024_4,Generating Novel Leads for Drug Discovery Using LLMs with Logical Feedback.,,No
aaai_2024_5,SeGA: Preference-Aware Self-Contrastive Learning with Prompts for Anomalous User Detection on Twitter.,,No
aaai_2024_6,Neural Embeddings for kNN Search in Biological Sequence.,,No
aaai_2024_7,i-Rebalance: Personalized Vehicle Repositioning for Supply Demand Balance.,,No
aaai_2024_8,GIN-SD: Source Detection in Graphs with Incomplete Nodes via Positional Encoding and Attentive Fusion.,,No
aaai_2024_9,Deep Quantum Error Correction.,,No
aaai_2024_10,Propagation Tree Is Not Deep: Adaptive Graph Contrastive Learning Approach for Rumor Detection.,,No
aaai_2024_11,Prompt to Transfer: Sim-to-Real Transfer for Traffic Signal Control with Prompt Learning.,,No
aaai_2024_12,Multitarget Device-Free Localization via Cross-Domain Wi-Fi RSS Training Data and Attentional Prior Fusion.,,No
aaai_2024_13,Heterogeneous Graph Reasoning for Fact Checking over Texts and Tables.,,No
aaai_2024_14,Text-Guided Molecule Generation with Diffusion Language Model.,,No
aaai_2024_15,Adversarial Robust Safeguard for Evading Deep Facial Manipulation.,,No
aaai_2024_16,FlightBERT++: A Non-autoregressive Multi-Horizon Flight Trajectory Prediction Framework.,,No
aaai_2024_17,LogFormer: A Pre-train and Tuning Pipeline for Log Anomaly Detection.,,No
aaai_2024_18,ContraNovo: A Contrastive Learning Approach to Enhance De Novo Peptide Sequencing.,,No
aaai_2024_19,Inducing Point Operator Transformer: A Flexible and Scalable Architecture for Solving PDEs.,,No
aaai_2024_20,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting.,,No
aaai_2024_21,Learning from Polar Representation: An Extreme-Adaptive Model for Long-Term Time Series Forecasting.,,No
aaai_2024_22,The Causal Impact of Credit Lines on Spending Distributions.,,No
aaai_2024_23,Improving PTM Site Prediction by Coupling of Multi-Granularity Structure and Multi-Scale Sequence Representation.,,No
aaai_2024_24,Joint Learning Neuronal Skeleton and Brain Circuit Topology with Permutation Invariant Encoders for Neuron Classification.,,No
aaai_2024_25,Root Cause Analysis in Microservice Using Neural Granger Causal Discovery.,,No
aaai_2024_26,Model-Driven Deep Neural Network for Enhanced AoA Estimation Using 5G gNB.,,No
aaai_2024_27,MID-FiLD: MIDI Dataset for Fine-Level Dynamics.,,No
aaai_2024_28,PosDiffNet: Positional Neural Diffusion for Point Cloud Registration in a Large Field of View with Perturbations.,,No
aaai_2024_29,StegaStyleGAN: Towards Generic and Practical Generative Image Steganography.,,No
aaai_2024_30,Dual-Channel Learning Framework for Drug-Drug Interaction Prediction via Relation-Aware Heterogeneous Graph Transformer.,,No
aaai_2024_31,Molecular Optimization Model with Patentability Constraint.,,No
