uuid,title,response
ieee_2024_0,"IEEE Symposium on Security and Privacy, SP 2024, San Francisco, CA, USA, May 19-23, 2024.",No
ieee_2024_1,On SMS Phishing Tactics and Infrastructure.,No
ieee_2024_2,Conning the Crypto Conman: End-to-End Analysis of Cryptocurrency-based Technical Support Scams.,No
ieee_2024_3,From Chatbots to Phishbots?: Phishing Scam Generation in Commercial Large Language Models.,Yes
ieee_2024_4,A Representative Study on Human Detection of Artificially Generated Media Across Countries.,No
ieee_2024_5,AVA: Inconspicuous Attribute Variation-based Adversarial Attack bypassing DeepFake Detection.,Yes
ieee_2024_6,An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape.,Yes
ieee_2024_7,DP-Auditorium: A Large-Scale Library for Auditing Differential Privacy.,No
ieee_2024_8,Time-Aware Projections: Truly Node-Private Graph Statistics under Continual Observation.,No
ieee_2024_9,Synq: Public Policy Analytics Over Encrypted Data.,No
ieee_2024_10,The Great Request Robbery: An Empirical Study of Client-side Request Hijacking Vulnerabilities on the Web.,No
ieee_2024_11,Break the Wall from Bottom: Automated Discovery of Protocol-Level Evasion Vulnerabilities in Web Application Firewalls.,No
ieee_2024_12,"Parse Me, Baby, One More Time: Bypassing HTML Sanitizer via Parsing Differentials.",No
ieee_2024_13,Holistic Concolic Execution for Dynamic Web Applications via Symbolic Interpreter Analysis.,No
ieee_2024_14,Where URLs Become Weapons: Automated Discovery of SSRF Vulnerabilities in Web Applications.,No
ieee_2024_15,SINBAD: Saliency-informed detection of breakage caused by ad blocking.,No
ieee_2024_16,C-Frame: Characterizing and measuring in-the-wild CAPTCHA attacks.,No
ieee_2024_17,Jasmine: Scale up JavaScript Static Security Analysis with Computation-based Semantic Explanation.,No
ieee_2024_18,A Tale of Two Industroyers: It was the Season of Darkness.,No
ieee_2024_19,AquaSonic: Acoustic Manipulation of Underwater Data Center Operations and Resource Management.,No
ieee_2024_20,"""Watching over the shoulder of a professional"": Why Hackers Make Mistakes and How They Fix Them.",No
ieee_2024_21,A Picture is Worth 500 Labels: A Case Study of Demographic Disparities in Local Machine Learning Models for Instagram and TikTok.,No
ieee_2024_22,MAWSEO: Adversarial Wiki Search Poisoning for Illicit Online Promotion.,Yes
ieee_2024_23,Poisoning Web-Scale Training Datasets is Practical.,Yes
ieee_2024_24,Don't Shoot the Messenger: Localization Prevention of Satellite Internet Users.,No
ieee_2024_25,The Dark Side of Scale: Insecurity of Direct-to-Cell Satellite Mega-Constellations.,No
ieee_2024_26,SoK: Collusion-resistant Multi-party Private Set Intersections in the Semi-honest Model.,No
ieee_2024_27,GAuV: A Graph-Based Automated Verification Framework for Perfect Semi-Honest Security of Multiparty Computation Protocols.,No
ieee_2024_28,Don't Eject the Impostor: Fast Three-Party Computation With a Known Cheater.,No
ieee_2024_29,Scalable Mixed-Mode MPC.,No
ieee_2024_30,Asterisk: Super-fast MPC with a Friend.,No
ieee_2024_31,Efficient Actively Secure DPF and RAM-based 2PC with One-Bit Leakage.,No
ieee_2024_32,MPC-in-the-Head Framework without Repetition and its Applications to the Lattice-based Cryptography.,No
