uuid,title,response
uss_2021_0,"30th USENIX Security Symposium, USENIX Security 2021, August 11-13, 2021.",No
uss_2021_1,"Susan Landau, Tufts University.",No
uss_2021_2,"Effect of Mood, Location, Trust, and Presence of Others on Video-Based Social Authentication.",No
uss_2021_3,'Passwords Keep Me Safe' - Understanding What Children Think about Passwords.,No
uss_2021_4,On the Usability of Authenticity Checks for Hardware Security Tokens.,No
uss_2021_5,Inexpensive Brainwave Authentication: New Techniques and Insights on User Acceptance.,No
uss_2021_6,Why Older Adults (Don't) Use Password Managers.,No
uss_2021_7,"""It's Stored, Hopefully, on an Encrypted Server"": Mitigating Users' Misconceptions About FIDO2 Biometric WebAuthn.",No
uss_2021_8,Driving 2FA Adoption at Scale: Optimizing Two-Factor Authentication Notification Design Patterns.,No
uss_2021_9,Hiding the Access Pattern is Not Enough: Exploiting Search Pattern Leakage in Searchable Encryption.,No
uss_2021_10,A Highly Accurate Query-Recovery Attack against Searchable Encryption using Non-Indexed Documents.,No
uss_2021_11,Fragment and Forge: Breaking Wi-Fi Through Frame Aggregation and Fragmentation.,No
uss_2021_12,Card Brand Mixup Attack: Bypassing the PIN in non-Visa Cards by Using Them for Visa Transactions.,No
uss_2021_13,Partitioning Oracle Attacks.,No
uss_2021_14,Raccoon Attack: Finding and Exploiting Most-Significant-Bit-Oracles in TLS-DH(E).,No
uss_2021_15,A Side Journey To Titan.,No
uss_2021_16,PASAN: Detecting Peripheral Access Concurrency Bugs within Bare-Metal Embedded Applications.,No
uss_2021_17,On the Design and Misuse of Microcoded (Embedded) Processors - A Cautionary Note.,No
uss_2021_18,M2MON: Building an MMIO-based Security Reference Monitor for Unmanned Vehicles.,No
uss_2021_19,Sharing More and Checking Less: Leveraging Common Input Keywords to Detect Bugs in Embedded Systems.,No
uss_2021_20,Jetset: Targeted Firmware Rehosting for Embedded Systems.,No
uss_2021_21,LIGHTBLUE: Automatic Profile-Aware Debloating of Bluetooth Stacks.,No
uss_2021_22,PACStack: an Authenticated Call Stack.,No
uss_2021_23,"""It's stressful having all these phones"": Investigating Sex Workers' Safety Goals, Risks, and Practices Online.",No
uss_2021_24,"""Now I'm a bit angry: "" Individuals' Awareness, Perception, and Responses to Data Breaches that Affected Them.",No
uss_2021_25,"""It's the Company, the Government, You and I"": User Perceptions of Responsibility for Smart Home Privacy and Security.",No
uss_2021_26,The Role of Computer Security Customer Support in Helping Survivors of Intimate Partner Violence.,No
uss_2021_27,Evaluating In-Workflow Messages for Improving Mental Models of End-to-End Encryption.,No
uss_2021_28,PriSEC: A Privacy Settings Enforcement Controller.,No
uss_2021_29,Are Privacy Dashboards Good for End Users? Evaluating User Perceptions and Reactions to Google's My Activity.,No.
uss_2021_30,Mystique: Efficient Conversions for Zero-Knowledge Proofs with Applications to Machine Learning.,No
uss_2021_31,Poseidon: A New Hash Function for Zero-Knowledge Proof Systems.,No
uss_2021_32,Dynamic proofs of retrievability with low server storage.,No
uss_2021_33,Where's Crypto?: Automated Identification and Classification of Proprietary Cryptographic Primitives in Binary Code.,No
uss_2021_34,Towards Formal Verification of State Continuity for Enclave Programs.,No
uss_2021_35,Protecting Cryptography Against Compelled Self-Incrimination.,No
uss_2021_36,CSProp: Ciphertext and Signature Propagation Low-Overhead Public-Key Cryptosystem for IoT Environments.,No
uss_2021_37,Automatic Extraction of Secrets from the Transistor Jungle using Laser-Assisted Side-Channel Attacks.,No
uss_2021_38,Lord of the Ring(s): Side Channel Attacks on the CPU On-Chip Ring Interconnect Are Practical.,No
uss_2021_39,Frontal Attack: Leaking Control-Flow in SGX via the CPU Frontend.,No
uss_2021_40,Charger-Surfing: Exploiting a Power Line Side-Channel for Smartphone Information Leakage.,No
uss_2021_41,VoltPillager: Hardware-based fault injection attacks against Intel SGX Enclaves using the SVID voltage scaling interface.,No
uss_2021_42,CIPHERLEAKS: Breaking Constant-time Cryptography on AMD SEV via the Ciphertext Side Channel.,No
uss_2021_43,Cross-VM and Cross-Processor Covert Channels Exploiting Processor Idle Power Management.,No
uss_2021_44,Can Systems Explain Permissions Better? Understanding Users' Misperceptions under Smartphone Runtime Permission Model.,No
uss_2021_45,"""Shhh...be quiet!"" Reducing the Unwanted Interruptions of Notification Permission Prompts on Chrome.",No
uss_2021_46,Explanation Beats Context: The Effect of Timing & Rationales on Users' Runtime Permission Decisions.,No.
uss_2021_47,"A Large Scale Study of User Behavior, Expectations and Engagement with Android Permissions.",No
uss_2021_48,Reducing Bias in Modeling Real-world Password Strength via Deep Learning and Dynamic Dictionaries.,No
uss_2021_49,Using Amnesia to Detect Credential Database Breaches.,No
uss_2021_50,Incrementally Updateable Honey Password Vaults.,No
uss_2021_51,Private Blocklist Lookups with Checklist.,No
uss_2021_52,Identifying Harmful Media in End-to-End Encrypted Communication: Efficient Private Membership Computation.,No
uss_2021_53,Fuzzy Labeled Private Set Intersection with Applications to Private Real-Time Biometric Search.,No
uss_2021_54,PrivSyn: Differentially Private Data Synthesis.,No
uss_2021_55,Data Poisoning Attacks to Local Differential Privacy Protocols.,No
