uuid,title,response
ccs_2021_0,"CCS '21: 2021 ACM SIGSAC Conference on Computer and Communications Security, Virtual Event, Republic of Korea, November 15 - 19, 2021.",No
ccs_2021_1,Pseudo-Randomness and the Crystal Ball.,No
ccs_2021_2,Towards Building a Responsible Data Economy.,No
ccs_2021_3,Are we done yet? Our Journey to Fight against Memory-safety Bugs.,No
ccs_2021_4,Chunk-Level Password Guessing: Towards Modeling Refined Password Composition Representations.,No
ccs_2021_5,"Out of Sight, Out of Mind: Detecting Orphaned Web Pages at Internet-Scale.",No
ccs_2021_6,Catching Transparent Phish: Analyzing and Detecting MITM Phishing Toolkits.,Yes
ccs_2021_7,Reverse Attack: Black-box Attacks on Collaborative Recommendation.,Yes
ccs_2021_8,It's Not What It Looks Like: Manipulating Perceptual Hashing based Applications.,Yes
ccs_2021_9,Black-box Adversarial Attacks on Commercial Speech Platforms with Minimal Information.,Yes
ccs_2021_10,A Hard Label Black-box Adversarial Attack Against Graph Neural Networks.,Yes
ccs_2021_11,Robust Adversarial Attacks Against DNN-Based Wireless Communication Systems.,Yes
ccs_2021_12,AI-Lancet: Locating Error-inducing Neurons to Optimize Neural Networks.,Yes
ccs_2021_13,Doubly Efficient Interactive Proofs for General Arithmetic Circuits with Linear Prover Time.,No
ccs_2021_14,Constant-Overhead Zero-Knowledge for RAM Programs.,No
ccs_2021_15,Appenzeller to Brie: Efficient Zero-Knowledge Proofs for Mixed-Mode Arithmetic and Z2k.,No
ccs_2021_16,Shorter and Faster Post-Quantum Designated-Verifier zkSNARKs from Lattices.,No
ccs_2021_17,"""Hello, It's Me"": Deep Learning-based Speech Synthesis Attacks in the Real World.",Yes
ccs_2021_18,Don't Forget the Stuffing! Revisiting the Security Impact of Typo-Tolerant Password Authentication.,No
ccs_2021_19,Dissecting Click Fraud Autonomy in the Wild.,Yes
ccs_2021_20,Understanding and Detecting Mobile Ad Fraud Through the Lens of Invalid Traffic.,No
ccs_2021_21,Usable User Authentication on a Smartwatch using Vibration.,No
ccs_2021_22,Automated Bug Hunting With Data-Driven Symbolic Root Cause Analysis.,No
ccs_2021_23,Snipuzz: Black-box Fuzzing of IoT Firmware via Message Snippet Inference.,No
ccs_2021_24,"Same Coverage, Less Bloat: Accelerating Binary-only Fuzzing with Coverage-preserving Coverage-guided Tracing.",No
ccs_2021_25,HyperFuzzer: An Efficient Hybrid Fuzzer for Virtual CPUs.,No
ccs_2021_26,HardsHeap: A Universal and Extensible Framework for Evaluating Secure Allocators.,No
ccs_2021_27,DPGen: Automated Program Synthesis for Differential Privacy.,No
ccs_2021_28,A Formally Verified Configuration for Hardware Security Modules in the Cloud.,No
ccs_2021_29,Solver-Aided Constant-Time Hardware Verification.,No
ccs_2021_30,Exorcising Spectres with Secure Compilers.,No
ccs_2021_31,Structured Leakage and Applications to Cryptographic Constant-Time and Cost.,No
ccs_2021_32,Learning Security Classifiers with Verified Global Robustness Properties.,Yes
ccs_2021_33,On the Robustness of Domain Constraints.,Yes
ccs_2021_34,Cert-RNN: Towards Certifying the Robustness of Recurrent Neural Networks.,Yes
ccs_2021_35,TSS: Transformation-Specific Smoothing for Robustness Certification.,Yes
ccs_2021_36,Efficient Online-friendly Two-Party ECDSA Signature.,No
ccs_2021_37,One Hot Garbling.,No
ccs_2021_38,The Return of Eratosthenes: Secure Generation of RSA Moduli using Distributed Sieving.,No
ccs_2021_39,Secure Graph Analysis at Scale.,No
ccs_2021_40,Oblivious Linear Group Actions and Applications.,No
ccs_2021_41,Wireless Charging Power Side-Channel Attacks.,No
ccs_2021_42,Indistinguishability Prevents Scheduler Side Channels in Real-Time Systems.,No
ccs_2021_43,Rosita++: Automatic Higher-Order Leakage Elimination from Cryptographic Code.,No
ccs_2021_44,Periscope: A Keystroke Inference Attack Using Human Coupled Electromagnetic Emanations.,No
ccs_2021_45,Constantine: Automatic Side-Channel Resistance Using Efficient Control and Data Flow Linearization.,No
ccs_2021_46,ECMO: Peripheral Transplantation to Rehost Embedded Linux Kernels.,No
ccs_2021_47,SyzGen: Automated Generation of Syscall Specification of Closed-Source macOS Drivers.,No
ccs_2021_48,Demons in the Shared Kernel: Abstract Resource Attacks Against OS-level Virtualization.,No
