uuid,title,response
ccs_2024_0,"Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security, CCS 2024, Salt Lake City, UT, USA, October 14-18, 2024.",No
ccs_2024_1,Cryptography and Computer Security: A View From the Year 2100.,No
ccs_2024_2,Staving off the IoT Armageddon.,No
ccs_2024_3,Verifiable Security Policies for Distributed Systems.,No
ccs_2024_4,"Libra: Architectural Support For Principled, Secure And Efficient Balanced Execution On High-End Processors.",No
ccs_2024_5,Compositional Verification of Composite Byzantine Protocols.,No
ccs_2024_6,Byzantine-Secure Relying Party for Resilient RPKI.,No
ccs_2024_7,SysBumps: Exploiting Speculative Execution in System Calls for Breaking KASLR in macOS for Apple Silicon.,No
ccs_2024_8,TDXdown: Single-Stepping and Instruction Counting Attacks against Intel TDX.,No
ccs_2024_9,Cross-Core Interrupt Detection: Exploiting User and Virtualized IPIs.,No
ccs_2024_10,Spec-o-Scope: Cache Probing at Cache Speed.,No
ccs_2024_11,"Training Robust ML-based Raw-Binary Malware Detectors in Hours, not Months.",Yes
ccs_2024_12,TREC: APT Tactic / Technique Recognition via Few-Shot Provenance Subgraph Learning.,No
ccs_2024_13,SAFARI: Speech-Associated Facial Authentication for AR/VR Settings via Robust VIbration Signatures.,No
ccs_2024_14,KnowGraph: Knowledge-Enabled Anomaly Detection via Logical Reasoning on Graph Data.,No
ccs_2024_15,Principled Microarchitectural Isolation on Cloud CPUs.,No
ccs_2024_16,Interstellar: Fully Partitioned and Efficient Security Monitoring Hardware Near a Processor Core for Protecting Systems against Attacks on Privileged Software.,No
ccs_2024_17,μCFI: Formal Verification of Microarchitectural Control-flow Integrity.,No
ccs_2024_18,Crystalor: Recoverable Memory Encryption Mechanism with Optimized Metadata Structure.,No
ccs_2024_19,Camel: Communication-Efficient and Maliciously Secure Federated Learning in the Shuffle Model of Differential Privacy.,Yes
ccs_2024_20,S 2 NeRF: Privacy-preserving Training Framework for NeRF.,Yes
ccs_2024_21,$DPM: $ Clustering Sensitive Data through Separation.,No
ccs_2024_22,S-BDT: Distributed Differentially Private Boosted Decision Trees.,No
ccs_2024_23,Cross-silo Federated Learning with Record-level Personalized Differential Privacy.,Yes
ccs_2024_24,Benchmarking Secure Sampling Protocols for Differential Privacy.,No
ccs_2024_25,Smooth Sensitivity for Geo-Privacy.,No
ccs_2024_26,Metric Differential Privacy at the User-Level via the Earth-Mover's Distance.,No
ccs_2024_27,Nakamoto Consensus under Bounded Processing Capacity.,No
ccs_2024_28,Data Independent Order Policy Enforcement: Limitations and Solutions.,No
ccs_2024_29,Securing Lightning Channels against Rational Miners.,No
ccs_2024_30,Interactive Multi-Credential Authentication.,No
ccs_2024_31,Towards Fine-Grained Webpage Fingerprinting at Scale.,No
ccs_2024_32,Understanding Routing-Induced Censorship Changes Globally.,No
ccs_2024_33,Internet's Invisible Enemy: Detecting and Measuring Web Cache Poisoning in the Wild.,No
ccs_2024_34,Inbox Invasion: Exploiting MIME Ambiguities to Evade Email Attachment Detectors.,Yes
ccs_2024_35,Toward Understanding the Security of Plugins in Continuous Integration Services.,No
ccs_2024_36,"The Harder You Try, The Harder You Fail: The KeyTrap Denial-of-Service Algorithmic Complexity Attacks on DNSSEC.",No
ccs_2024_37,FuzzCache: Optimizing Web Application Fuzzing Through Software-Based Data Cache.,No
ccs_2024_38,MiniCAT: Understanding and Detecting Cross-Page Request Forgery Vulnerabilities in Mini-Programs.,No
ccs_2024_39,SWIDE: A Semantic-aware Detection Engine for Successful Web Injection Attacks.,No
ccs_2024_40,Stealing Trust: Unraveling Blind Message Attacks in Web3 Authentication.,No
ccs_2024_41,Test Suites Guided Vulnerability Validation for Node.js Applications.,No
ccs_2024_42,ReactAppScan: Mining React Application Vulnerabilities via Component Graph.,No
ccs_2024_43,Certifiable Black-Box Attacks with Randomized Adversarial Examples: Breaking Defenses with Provable Confidence.,Yes
ccs_2024_44,Phantom: Untargeted Poisoning Attacks on Semi-Supervised Learning.,Yes
ccs_2024_45,Zero-Query Adversarial Attack on Black-box Automatic Speech Recognition Systems.,Yes
ccs_2024_46,SUB-PLAY: Adversarial Policies against Partially Observed Multi-Agent Reinforcement Learning Systems.,Yes
ccs_2024_47,Optimization-based Prompt Injection Attack to LLM-as-a-Judge.,Yes
ccs_2024_48,Neural Dehydration: Effective Erasure of Black-box Watermarks from DNNs with Limited Data.,Yes
ccs_2024_49,DarthShader: Fuzzing WebGPU Shader Translators & Compilers.,No
ccs_2024_50,OSmart: Whitebox Program Option Fuzzing.,No
ccs_2024_51,Program Environment Fuzzing.,No
ccs_2024_52,ProphetFuzz: Fully Automated Prediction and Fuzzing of High-Risk Option Combinations with Only Documentation via Large Language Model.,No
ccs_2024_53,"No Peer, no Cry: Network Application Fuzzing via Fault Injection.",No
ccs_2024_54,FOX: Coverage-guided Fuzzing as Online Stochastic Control.,No
ccs_2024_55,Leakage-Resilient Circuit Garbling.,No.
ccs_2024_56,Secure Multiparty Computation with Lazy Sharing.,No
ccs_2024_57,Coral: Maliciously Secure Computation Framework for Packed and Mixed Circuits.,No
ccs_2024_58,Sublinear Distributed Product Checks on Replicated Secret-Shared Data over Z 2 k Without Ring Extensions.,No
ccs_2024_59,Secret Sharing with Snitching.,No
ccs_2024_60,Shortcut: Making MPC-based Collaborative Analytics Efficient on Dynamic Databases.,No
ccs_2024_61,Dora: A Simple Approach to Zero-Knowledge for RAM Programs.,No
ccs_2024_62,Dual Polynomial Commitment Schemes and Applications to Commit-and-Prove SNARKs.,No
ccs_2024_63,Direct Range Proofs for Paillier Cryptosystem and Their Applications.,No
ccs_2024_64,Conan: Distributed Proofs of Compliance for Anonymous Data Collection.,No
ccs_2024_65,Hekaton: Horizontally-Scalable zkSNARKs Via Proof Aggregation.,No
ccs_2024_66,GRandLine: Adaptively Secure DKG and Randomness Beacon with (Log-)Quadratic Communication Complexity.,No
ccs_2024_67,TokenScout: Early Detection of Ethereum Scam Tokens via Temporal Graph Learning.,No
ccs_2024_68,fAmulet: Finding Finalization Failure Bugs in Polygon zkRollup.,No
ccs_2024_69,Characterizing Ethereum Address Poisoning Attack.,No
ccs_2024_70,FORAY: Towards Effective Attack Synthesis against Deep Logical Vulnerabilities in DeFi Protocols.,No
ccs_2024_71,Towards Automatic Discovery of Denial of Service Weaknesses in Blockchain Resource Models.,No
ccs_2024_72,Blockchain Bribing Attacks and the Efficacy of Counterincentives.,No
ccs_2024_73,Keeping Up with the KEMs: Stronger Security Notions for KEMs and Automated Analysis of KEM-based Protocols.,No
ccs_2024_74,SECOMP: Formally Secure Compilation of Compartmentalized C Programs.,No
ccs_2024_75,Testing Side-channel Security of Cryptographic Implementations against Future Microarchitectures.,No
ccs_2024_76,On Kernel's Safety in the Spectre Era (And KASLR is Formally Dead).,No
ccs_2024_77,The Privacy-Utility Trade-off in the Topics API.,No
ccs_2024_78,Specification and Verification of Strong Timing Isolation of Hardware Enclaves.,No
ccs_2024_79,A Causal Explainable Guardrails for Large Language Models.,Yes
ccs_2024_80,Legilimens: Practical and Unified Content Moderation for Large Language Model Services.,Yes
