uuid,title,response
ndss_2024_0,"31st Annual Network and Distributed System Security Symposium, NDSS 2024, San Diego, California, USA, February 26 - March 1, 2024.",No
ndss_2024_1,"Architecting Trigger-Action Platforms for Security, Performance and Functionality.",No
ndss_2024_2,Attributions for ML-based ICS Anomaly Detection: From Theory to Practice.,No
ndss_2024_3,Bernoulli Honeywords.,No
ndss_2024_4,BreakSPF: How Shared Infrastructures Magnify SPF Vulnerabilities Across the Internet.,No
ndss_2024_5,Compensating Removed Frequency Components: Thwarting Voice Spectrum Reduction Attacks.,Yes
ndss_2024_6,Compromising Industrial Processes using Web-Based Programmable Logic Controller Malware.,No
ndss_2024_7,Content Censorship in the InterPlanetary File System.,No
ndss_2024_8,Crafter: Facial Feature Crafting against Inversion-based Identity Theft on Deep Models.,Yes
ndss_2024_9,CrowdGuard: Federated Backdoor Detection in Federated Learning.,Yes
ndss_2024_10,Eavesdropping on Black-box Mobile Devices via Audio Amplifier's EMR.,No
ndss_2024_11,Enhance Stealthiness and Transferability of Adversarial Attacks with Class Activation Mapping Ensemble Attack.,Yes
ndss_2024_12,Exploiting Sequence Number Leakage: TCP Hijacking in NAT-Enabled Wi-Fi Networks.,No
ndss_2024_13,Facilitating Non-Intrusive In-Vivo Firmware Testing with Stateless Instrumentation.,No
ndss_2024_14,File Hijacking Vulnerability: The Elephant in the Room.,No
ndss_2024_15,Front-running Attack in Sharded Blockchains and Fair Cross-shard Consensus.,No
ndss_2024_16,GhostType: The Limits of Using Contactless Electromagnetic Interference to Inject Phantom Keys into Analog Circuits of Keyboards.,No
ndss_2024_17,GNNIC: Finding Long-Lost Sibling Functions with Abstract Similarity.,No
ndss_2024_18,HEIR: A Unified Representation for Cross-Scheme Compilation of Fully Homomorphic Computation.,No
ndss_2024_19,IDA: Hybrid Attestation with Support for Interrupts and TOCTOU.,No
ndss_2024_20,Inaudible Adversarial Perturbation: Manipulating the Recognition of User Speech in Real Time.,Yes
ndss_2024_21,LARMix: Latency-Aware Routing in Mix Networks.,No
ndss_2024_22,LDR: Secure and Efficient Linux Driver Runtime for Embedded TEE Systems.,No
ndss_2024_23,"LiDAR Spoofing Meets the New-Gen: Capability Improvements, Broken Assumptions, and New Attack Strategies.",Yes
ndss_2024_24,LMSanitator: Defending Prompt-Tuning Against Task-Agnostic Backdoors.,Yes
ndss_2024_25,Low-Quality Training Data Only? A Robust Framework for Detecting Encrypted Malicious Network Traffic.,Yes
ndss_2024_26,MOCK: Optimizing Kernel Fuzzing Mutation with Context-aware Dependency.,No
ndss_2024_27,Modeling and Detecting Internet Censorship Events.,No
ndss_2024_28,MPCDiff: Testing and Repairing MPC-Hardened Deep Learning Models.,Yes
ndss_2024_29,NODLINK: An Online System for Fine-Grained APT Attack Detection and Investigation.,No
ndss_2024_30,On Precisely Detecting Censorship Circumvention in Real-World Networks.,No
ndss_2024_31,ORL-AUDITOR: Dataset Auditing in Offline Deep Reinforcement Learning.,No
ndss_2024_32,Overconfidence is a Dangerous Thing: Mitigating Membership Inference Attacks by Enforcing Less Confident Prediction.,Yes
ndss_2024_33,Pisces: Private and Compliable Cryptocurrency Exchange.,No
ndss_2024_34,ShapFuzz: Efficient Fuzzing via Shapley-Guided Byte Selection.,No
ndss_2024_35,SigmaDiff: Semantics-Aware Deep Graph Matching for Pseudocode Diffing.,No
ndss_2024_36,Symphony: Path Validation at Scale.,No
ndss_2024_37,The Dark Side of E-Commerce: Dropshipping Abuse as a Business Model.,No
ndss_2024_38,Transpose Attack: Stealing Datasets with Bidirectional Training.,Yes
ndss_2024_39,TrustSketch: Trustworthy Sketch-based Telemetry on Cloud Hosts.,No
ndss_2024_40,Understanding and Analyzing Appraisal Systems in the Underground Marketplaces.,No
ndss_2024_41,Unus pro omnibus: Multi-Client Searchable Encryption via Access Control.,No
